uuid;quantity;unit;name;category
381784f839eae80dffe7;1;clove;garlic;Herb and Spice
bdc7448d788edf8e88f4;2;clove;garlic;Herb and Spice
0992b75fd5a8cc6a3e3e;1;clove;garlic;Herb and Spice
99b55a0d8e297048cfc0;1;clove;garlic;Herb and Spice
2346df08e1939e37ed64;2;clove;garlic;Herb and Spice
18e04b3fff1325b4d244;2;clove;garlic;Herb and Spice
4324264498e040b4fdc7;2;clove;garlic;Herb and Spice
bce50bc9645667072133;2;clove;garlic;Herb and Spice
194dd9e1bf7694493015;2;clove;garlic;Herb and Spice
f72acec0c134474aa129;2;clove;garlic;Herb and Spice
0528174c0168ac50d4d4;2;clove;garlic;Herb and Spice
19d959d6874b812a9094;2;clove;garlic;Herb and Spice
92699b7582199135ad27;6;clove;garlic;Herb and Spice
25b3e1b39fa86f866446;2;clove;garlic;Herb and Spice
4dc3a8de1fe1e7c78276;10;g;ginger;Herb and Spice
66c0531c06a9f27a851a;20;g;ginger;Herb and Spice
92699b7582199135ad27;50;g;ginger;Herb and Spice
755985659b42a5effc69;1;tbsp;ground cinnamon;Herb and Spice
78618932bf1e6eb7049d;1;tbsp;ground cinnamon;Herb and Spice
755985659b42a5effc69;1;tbsp;ground cinnamon;Herb and Spice
381784f839eae80dffe7;1;tbsp;ground coriander;Herb and Spice
2346df08e1939e37ed64;1;tsp;ground turmeric;Herb and Spice
684a85ea430c1fc1c513;1;tsp;ground turmeric;Herb and Spice
92699b7582199135ad27;1;tsp;ground turmeric;Herb and Spice
4dc3a8de1fe1e7c78276;1;bunch;mint;Herb and Spice
fbd0c5b8660e5b1815d9;1;bunch;mint;Herb and Spice
0528174c0168ac50d4d4;10;g;nutmeg;Herb and Spice
19d959d6874b812a9094;1;bunch;oregano;Herb and Spice
0992b75fd5a8cc6a3e3e;1;bunch;parsley;Herb and Spice
381784f839eae80dffe7;1;bunch;parsley;Herb and Spice
f72acec0c134474aa129;1;bunch;parsley;Herb and Spice
99b55a0d8e297048cfc0;1;bunch;parsley;Herb and Spice
19d959d6874b812a9094;20;g;rosemary;Herb and Spice
02f1939873c5ed70986c;2;bunch;thyme;Herb and Spice
0528174c0168ac50d4d4;2;bunch;thyme;Herb and Spice
194dd9e1bf7694493015;2;bunch;thyme;Herb and Spice
25b3e1b39fa86f866446;2;bunch;thyme;Herb and Spice
19d959d6874b812a9094;4;;bacon;Meat
287b2c962512f7153d66;8;;bacon;Meat
0528174c0168ac50d4d4;1000;g;beef mince;Meat
19d959d6874b812a9094;500;g;beef mince;Meat
0528174c0168ac50d4d4;850;ml;beef stock;Meat
19d959d6874b812a9094;20;ml;beef stock;Meat
cb63700d3badc09031a7;4;;chicken breasts;Meat
4324264498e040b4fdc7;2;;chicken breasts;Meat
18c4a29debd67599b36a;2;;chicken breasts;Meat
287b2c962512f7153d66;4;;chicken breasts;Meat
684a85ea430c1fc1c513;4;;chicken breasts;Meat
194dd9e1bf7694493015;4;;chicken legs;Meat
25b3e1b39fa86f866446;400;g;chicken livers;Meat
4324264498e040b4fdc7;350;ml;chicken stock;Meat
684a85ea430c1fc1c513;850;ml;chicken stock;Meat
194dd9e1bf7694493015;500;ml;chicken stock;Meat
18c4a29debd67599b36a;300;ml;chicken stock;Meat
0992b75fd5a8cc6a3e3e;1000;ml;chicken stock;Meat
92699b7582199135ad27;250;ml;chicken stock;Meat
92699b7582199135ad27;8;;chicken thighs;Meat
4324264498e040b4fdc7;75;g;chorizo;Meat
286a7c7866ffa2650643;1;;eggs;Meat
9f28504dfe4ea469ead6;2;;eggs;Meat
99b55a0d8e297048cfc0;1;;eggs;Meat
12f84704141e5efcd98d;2;;eggs;Meat
cb369a7d5b20b4bfb427;2;;eggs;Meat
755985659b42a5effc69;2;;eggs;Meat
359dd9119bc954ae526d;3;;eggs;Meat
f17672605ba58e226ff9;2;;eggs;Meat
cacfe28b4d2c6964be85;3;;eggs;Meat
5abd684ef293eb899341;2;;eggs;Meat
ef43008554b87ff9d590;4;;eggs;Meat
12f84704141e5efcd98d;2;tbsp;ground almond;Nuts & Seed
286a7c7866ffa2650643;100;g;ground almond;Nuts & Seed
12f84704141e5efcd98d;140;g;ground almond;Nuts & Seed
cacfe28b4d2c6964be85;50;g;ground almond;Nuts & Seed
78618932bf1e6eb7049d;50;g;ground almond;Nuts & Seed
755985659b42a5effc69;3;tbsp;hazelnut;Nuts & Seed
4dc3a8de1fe1e7c78276;1;tbsp;peanuts;Nuts & Seed
781874bcf5aac010e8ff;10;g;pumpkin seeds;Nuts & Seed
397e7921ba58f77a9ce1;100;g;walnut;Nuts & Seed
74195811e951e9fbe3f8;1;;broccoli;Vegetable
18e04b3fff1325b4d244;1;;cabbage;Vegetable
bdc7448d788edf8e88f4;4;;carrots;Vegetable
0528174c0168ac50d4d4;3;;carrots;Vegetable
19d959d6874b812a9094;2;;carrots;Vegetable
02f1939873c5ed70986c;2;;carrots;Vegetable
18e04b3fff1325b4d244;3;;carrots;Vegetable
6de778e5c687e14b0e50;1;;chicory;Vegetable
24d25b308700d23f709b;2;;chili;Vegetable
7a62eaea1565c352310b;1;;chili;Vegetable
4dc3a8de1fe1e7c78276;1;;chili;Vegetable
19d959d6874b812a9094;1;;chili;Vegetable
bce50bc9645667072133;700;g;courgette;Vegetable
4dc3a8de1fe1e7c78276;3;;cucumber;Vegetable
74195811e951e9fbe3f8;1;;leek;Vegetable
f72acec0c134474aa129;50;g;mushroom;Vegetable
0992b75fd5a8cc6a3e3e;500;g;mushroom;Vegetable
f72acec0c134474aa129;250;g;mushroom;Vegetable
194dd9e1bf7694493015;200;g;mushroom;Vegetable
287b2c962512f7153d66;1;tbsp;mustard;Condiment
2346df08e1939e37ed64;1;tsp;mustard;Condiment
92699b7582199135ad27;1;;onion;Vegetable
2346df08e1939e37ed64;1;;onion;Vegetable
684a85ea430c1fc1c513;1;;onion;Vegetable
02f1939873c5ed70986c;1;;onion;Vegetable
18e04b3fff1325b4d244;1;;onion;Vegetable
8b1fcfc80c7231df0d48;1;;onion;Vegetable
19d959d6874b812a9094;2;;onion;Vegetable
0992b75fd5a8cc6a3e3e;2;;onion;Vegetable
bdc7448d788edf8e88f4;1;;onion;Vegetable
194dd9e1bf7694493015;1;;onion;Vegetable
4324264498e040b4fdc7;1;;onion;Vegetable
74195811e951e9fbe3f8;1;;onion;Vegetable
f72acec0c134474aa129;1;;onion;Vegetable
bce50bc9645667072133;1;;onion;Vegetable
99b55a0d8e297048cfc0;1;;onion;Vegetable
24d25b308700d23f709b;2;;onion;Vegetable
781874bcf5aac010e8ff;2;;onion;Vegetable
0528174c0168ac50d4d4;2;;onion;Vegetable
a2f4e2e307aa28f20b89;1;;onion;Vegetable
7a62eaea1565c352310b;1;;onion;Vegetable
381784f839eae80dffe7;1;;onion;Vegetable
bdc7448d788edf8e88f4;2;;parsnip;Vegetable
2346df08e1939e37ed64;4;;parsnip;Vegetable
99b55a0d8e297048cfc0;10;;potatoes;Vegetable
18e04b3fff1325b4d244;2;;potatoes;Vegetable
74195811e951e9fbe3f8;8;;potatoes;Vegetable
0528174c0168ac50d4d4;15;;potatoes;Vegetable
bdc7448d788edf8e88f4;17;;potatoes;Vegetable
4dc3a8de1fe1e7c78276;1;;shallot;Vegetable
